# AUTO-BENCH v1 F6 novelty-stream (H1, the ratchet curve) - per-position log.
# REAL leg: session bench-f6b, cap 1.00 USD, tier-0 frontier:gpt-5.4-mini, ledger ~/.auto/spend.jsonl
# stream=evals\bench\f6-stream\stream.jsonl K=8 guard_alpha_milli=400
# tier: bootstrap-record = paid recording via evals/ticket-triage/agent.py (no artifact yet);
#       tier1 = guard proceed, compiled answer, marginal cost 0; tier0-deopt = guard trip, paid
#       frontier answer ingested into the store (the ratchet); abstain/error = honest failures.
# cost_usd_micros: bootstrap = reserved span attr from the store; tier0-deopt = spend-ledger
# delta for this session; tier1 = 0. latency_ms: bootstrap = recorded span duration (real API
# latency); tier0-deopt = the runtime's measured tier-0 wall time; tier1 = one-shot `auto run`
# wall time (process spawn + wasm compile included - the honest one-shot number; see README).
pos,category,text_sha12,distinct_seen,tier,guard_distance,latency_ms,cost_usd_micros,artifact_generation,answer
1,billing,17cb12f37f2c,1,bootstrap-record,,909,63,0,billing
2,bug,ce3ad56c2cf2,2,bootstrap-record,,834,57,0,bug
3,feature,596a467f9df0,3,bootstrap-record,,937,61,0,feature
4,billing,f08ef09a72b6,4,bootstrap-record,,907,58,0,billing
5,bug,21e6c02f0cf9,5,bootstrap-record,,797,57,0,bug
6,feature,63ba506c4f68,6,bootstrap-record,,1077,57,0,feature
7,billing,793f8e241429,7,bootstrap-record,,890,60,0,billing
8,bug,c95d2df9836c,8,bootstrap-record,,894,59,0,bug
9,feature,85dc8b741c90,8,tier1,0.7923,745,0,1,feature
10,billing,3f283840eeb8,8,tier1,0.7901,98,0,1,billing
11,bug,5363b868787f,8,tier1,0.8714,89,0,1,bug
12,feature,16311abe6402,8,tier1,0.8592,86,0,1,bug
13,billing,793f8e241429,8,tier1,0.0000,380,0,1,billing
14,bug,8f5076b17d0d,8,tier1,0.8792,82,0,1,bug
15,billing,cfb98f978d8b,8,tier1,0.8690,79,0,1,billing
16,bug,5363b868787f,8,tier1,0.8714,339,0,1,bug
17,bug,21e6c02f0cf9,8,tier1,0.0000,904,0,1,bug
18,feature,16311abe6402,8,tier1,0.8592,608,0,1,bug
19,feature,63ba506c4f68,8,tier1,0.0000,102,0,1,feature
20,billing,78a26c8bef69,8,tier1,0.8333,95,0,1,billing
21,billing,793f8e241429,8,tier1,0.0000,377,0,1,billing
22,feature,596a467f9df0,8,tier1,0.0000,100,0,1,feature
23,billing,3f283840eeb8,8,tier1,0.7901,97,0,1,billing
